	key	question	options
64	GUNRESPKIDSH_W26	Thinking about gun owners who have children in their home, how important do you think it is for them to: Talk to their children about gun safety	['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']
65	GUNSAFETYKIDS_W26	For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?	['Yes', 'No', 'I do not have children under 18', 'Refused']
66	CARRYGUN_W26	How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?	['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']
67	NOCARRYGUN_W26	And would you say you never carry a handgun or pistol because you don't want to or for some other reason?	"[""Don't want to carry"", 'Some other reason', 'Refused']"
68	GUNKILLF1_W26	Which comes closer to your view, even if neither is exactly right?	"['People who want to kill or harm others will find a way to do it whether they have a gun or not', ""People who want to kill or harm others are less likely to do it if they don't have a gun"", 'Refused']"
69	GUNKILLF2_W26	Thinking about people who commit suicide using a gun, which comes closer to your view, even if neither is exactly right?	"['They would find a way to do it whether they had access to a gun or not', ""They would be less likely to do it if they didn't have access to a gun"", 'Refused']"
70	DEFENDGUN_W26	Not including in military combat or as part of your job, have you ever used a gun to defend yourself, your family or possessions, either by firing it or threatening to fire it?	['Yes', 'No', 'Refused']
71	GUNTHREAT_W26	Has anyone ever used a gun to threaten or intimidate you or someone in your family?	['Yes', 'No', 'Refused']
72	CRIMEVICTIM_W26	Have you ever been a victim of a violent crime, whether a gun was used or not?	['Yes', 'No', 'Refused']
73	MARGUN_W26	Now thinking about your spouse or partner. Does your spouse or partner own any guns?	['Yes', 'No', 'Refused']
74	GUNASSOCIATIONA_W26	Are you currently a member of a gun or shooting club or gun range	['Yes', 'No', 'Refused']
75	GUNACTIVITYA_W26	How often, if ever, do you visit websites about guns, hunting or other shooting sports	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
76	GUNACTIVITYB_W26	How often, if ever, do you watch TV programs about guns or watch gun-oriented videos	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
77	GUNACTIVITYC_W26	How often, if ever, do you listen to gun-oriented podcasts or radio shows	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
78	GUNACTIVITYD_W26	How often, if ever, do you participate in online discussion forums about guns	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
79	GUNACTIVITYE_W26	How often, if ever, do you attend gun shows	['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']
