	key	question	options
16	ESSENBIZF2G_W36	In general, how important, if at all, is it to you for someone in a top executive business position to provide fair pay and good benefits?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
17	ESSENBIZF2H_W36	In general, how important, if at all, is it to you for someone in a top executive business position to negotiate profitable deals?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
18	ESSENBIZF2I_W36	In general, how important, if at all, is it to you for someone in a top executive business position to consider the impact of business decisions on society?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
19	ESSENBIZF2J_W36	In general, how important, if at all, is it to you for someone in a top executive business position to provide guidance or mentorship to young employees?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
20	ESSENBIZF2K_W36	In general, how important, if at all, is it to you for someone in a top executive business position to create a safe and respectful workplace?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
21	ESSENBIZF2L_W36	In general, how important, if at all, is it to you for someone in a top executive business position to stand up for what they believe in, despite pressure to make a profit?	['Essential', 'Important, but not essential', 'Not important', 'Refused']
22	STYLE1_W36	Next, please think about the leadership styles of people in top positions in business and politics. In general, when it comes to their approach to leadership, do you think that	['Men and women are basically similar', 'Men and women are basically different', 'Refused']
23	STYLE2_W36	Thinking about the ways in which men and women in top positions in business and politics are different in their approach to leadership, would you say	['Women generally have a better approach', 'Men generally have a better approach', 'Neither is better', 'Refused']
24	AMNTWMNPF1_W36	Thinking about the country today, would you say there are	['Too many women in high political offices', 'Too few women in high political offices', 'About the right number of women in high political offices', 'Refused']
25	AMNTWMNP2F1_W36	What do you think would be the ideal situation when it comes to the number of women in high political office?	['Having more women than there are now but still not as many women as men', 'Having about an equal number of women and men', 'Having more women than men', 'Refused']
26	AMNTWMNBF1_W36	Thinking about the country today, would you say there are	['Too many women in top executive business positions', 'Too few women in top executive business positions', 'About the right number of women in top executive business positions', 'Refused']
27	AMNTWMNB2F1_W36	What do you think would be the ideal situation when it comes to the number of women in top executive business positions?	['Having more women than there are now but still not as many women as men', 'Having about an equal number of women and men', 'Having more women than men', 'Refused']
28	EASIERBIZF2_W36	Thinking about top executive positions in business these days, would you say it is generally	['Easier for men to get these positions', 'Easier for women to get these positions', 'Not much difference', 'Refused']
29	EASIERPOLF2_W36	Thinking about high political offices these days, would you say it is generally	['Easier for men to get elected to high political offices', 'Easier for women to get elected to high political offices', 'Not much difference', 'Refused']
30	EQUALPOLF2_W36	Which of these two statements comes closer to your own view, even if neither is exactly right?	['As more women run for office, it is only a matter of time before there are as many women as men in high political office', 'Even as more women run for office, men will continue to hold more high political offices in the future', 'Refused']
31	EQUALBIZF2_W36	Which of these two statements comes closer to your own view, even if neither is exactly right?	['As more women move into management roles, it is only a matter of time before there are as many women as men in top execu', 'Even as more women move into management roles, men will continue to hold more top executive positions in business in the', 'Refused']
32	IMPROVE1_W36	How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for women?	['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']
33	IMPROVE2_W36	How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for men?	['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']
34	IMPROVE3_W36	How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?	['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']
35	WHYNOTPOLF1A_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Many Americans aren't ready to elect a woman to higher office	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
36	WHYNOTPOLF1B_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women in politics face gender discrimination	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
37	WHYNOTPOLF1C_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Family responsibilities make it harder for women to run for higher office	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
38	WHYNOTPOLF1D_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women aren't tough enough for politics	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
39	WHYNOTPOLF1E_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Fewer women have the experience required for higher office	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
40	WHYNOTPOLF1F_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women get less support from party leaders	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
41	WHYNOTPOLF1G_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women who run for office are held to higher standards than men	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
42	WHYNOTPOLF1H_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women who run for office have to more to prove themselves than men	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
43	WHYNOTPOLF1I_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Not as many women are interested in holding higher office	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
44	WHYNOTPOLF1J_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women aren't encouraged to pursue leadership positions from an early age	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
45	WHYNOTPOLF1K_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women don't do as good of a job selling their accomplishments	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
46	WHYNOTPOLF1L_W36	Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Sexual harassment creates an environment that makes it harder for women to succeed in politics	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
47	WHYNOTBIZF2A_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Many businesses are not ready to hire women for top executive positions	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
48	WHYNOTBIZF2B_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women in business face gender discrimination	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
49	WHYNOTBIZF2C_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Family responsibilities make it harder for women to move up in business	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
50	WHYNOTBIZF2D_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't tough enough for business	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
51	WHYNOTBIZF2F_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women don't make as good managers as men	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
52	WHYNOTBIZF2G_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are held to higher standards than men	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
53	WHYNOTBIZF2H_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women have to more to prove themselves than men	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
54	WHYNOTBIZF2I_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Not as many women are interested in top executive business positions	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
55	WHYNOTBIZF2J_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't encouraged to pursue leadership positions from an early age	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
56	WHYNOTBIZF2K_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women don't do as good of a job selling their accomplishments	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
57	WHYNOTBIZF2L_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women don't have access to the same kinds of personal networks and connections that men have	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
58	WHYNOTBIZF2M_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women have fewer opportunities to interact with people in senior positions outside of work	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
59	WHYNOTBIZF2N_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are less likely than men to ask for promotions and raises	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
60	WHYNOTBIZF2O_W36	For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Sexual harassment creates an environment that makes it harder for women to succeed in business	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
61	HIGHED_W36	Now, thinking about the higher education system, that is colleges and universities, in the United States today	['Right direction', 'Wrong direction', 'Refused']
62	HIGHEDWRNGA_W36	For tuition costs are too high, please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction.	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
63	HIGHEDWRNGB_W36	Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classroom	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
64	HIGHEDWRNGC_W36	Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Colleges and universities are too concerned about protecting students from views they might find offensive	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
65	HIGHEDWRNGD_W36	Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Students are not getting the skills they need to succeed in the workplace	['Major reason', 'Minor reason', 'Not a reason', 'Refused']
66	HIGHEDWRNGS_W36	Are there any other major reasons why you think the higher education system in the U.S. is going in the wrong direction?	['Yes', 'No', 'Refused']
67	BETTERPOL1F1A_W36	In general, do you think men or women in high political offices are better at being honest and ethical?	['Men are better', 'Women are better', 'No difference', 'Refused']
68	BETTERPOL1F1B_W36	In general, do you think men or women in high political offices are better at being compassionate and empathetic?	['Men are better', 'Women are better', 'No difference', 'Refused']
69	BETTERPOL1F1C_W36	In general, do you think men or women in high political offices are better at working out compromises?	['Men are better', 'Women are better', 'No difference', 'Refused']
70	BETTERPOL1F1D_W36	In general, do you think men or women in high political offices are better at working well under pressure?	['Men are better', 'Women are better', 'No difference', 'Refused']
71	BETTERPOL1F1E_W36	In general, do you think men or women in high political offices are better at being willing to take risks?	['Men are better', 'Women are better', 'No difference', 'Refused']
72	BETTERPOL1F1F_W36	In general, do you think men or women in high political offices are better at standing up for what they believe in, despite political pressure?	['Men are better', 'Women are better', 'No difference', 'Refused']
73	BETTERPOL1F1G_W36	In general, do you think men or women in high political offices are better at being persuasive?	['Men are better', 'Women are better', 'No difference', 'Refused']
74	BETTERPOL1F1H_W36	In general, do you think men or women in high political offices are better at maintaining a tone of civility and respect in politics?	['Men are better', 'Women are better', 'No difference', 'Refused']
75	BETTERPOL1F1I_W36	In general, do you think men or women in high political offices are better at serving as a role model for children?	['Men are better', 'Women are better', 'No difference', 'Refused']
76	BETTERPOL2F1A_W36	And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at handling economic conditions?	['Men are better', 'Women are better', 'No difference', 'Refused']
77	BETTERPOL2F1B_W36	And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with social issues such as education and health care?	['Men are better', 'Women are better', 'No difference', 'Refused']
78	BETTERPOL2F1C_W36	And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with immigration policy?	['Men are better', 'Women are better', 'No difference', 'Refused']
79	BETTERPOL2F1D_W36	And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?	['Men are better', 'Women are better', 'No difference', 'Refused']
80	BETTERPOL2F1E_W36	And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with the federal budget deficit?	['Men are better', 'Women are better', 'No difference', 'Refused']
81	BETTERPOL2F1F_W36	And thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy?	['Men are better', 'Women are better', 'No difference', 'Refused']
82	BETTERBIZ1F2A_W36	In general, do you think men or women in top executive business positions are better at being honest and ethical?	['Men are better', 'Women are better', 'No difference', 'Refused']
83	BETTERBIZ1F2B_W36	In general, do you think men or women in top executive business positions are better at being compassionate and empathetic?	['Men are better', 'Women are better', 'No difference', 'Refused']
84	BETTERBIZ1F2C_W36	In general, do you think men or women in top executive business positions are better at working out compromises?	['Men are better', 'Women are better', 'No difference', 'Refused']
85	BETTERBIZ1F2D_W36	In general, do you think men or women in top executive business positions are better at working well under pressure?	['Men are better', 'Women are better', 'No difference', 'Refused']
86	BETTERBIZ1F2E_W36	In general, do you think men or women in top executive business positions are better at being willing to take risks?	['Men are better', 'Women are better', 'No difference', 'Refused']
87	BETTERBIZ1F2F_W36	In general, do you think men or women in top executive business positions are better at valuing people from different backgrounds?	['Men are better', 'Women are better', 'No difference', 'Refused']
88	BETTERBIZ1F2G_W36	In general, do you think men or women in top executive business positions are better at providing fair pay and good benefits?	['Men are better', 'Women are better', 'No difference', 'Refused']
89	BETTERBIZ1F2H_W36	In general, do you think men or women in top executive business positions are better at negotiating profitable deals?	['Men are better', 'Women are better', 'No difference', 'Refused']
90	BETTERBIZ1F2I_W36	In general, do you think men or women in top executive business positions are better at considering the impact of business decisions on society?	['Men are better', 'Women are better', 'No difference', 'Refused']
91	BETTERBIZ1F2J_W36	In general, do you think men or women in top executive business positions are better at providing guidance or mentorship to young employees?	['Men are better', 'Women are better', 'No difference', 'Refused']
92	BETTERBIZ1F2K_W36	In general, do you think men or women in top executive business positions are better at creating a safe and respectful workplace?	['Men are better', 'Women are better', 'No difference', 'Refused']
93	BETTERBIZ1F2L_W36	In general, do you think men or women in top executive business positions are better at standing up for what they believe in, despite pressure to make a profit?	['Men are better', 'Women are better', 'No difference', 'Refused']
94	BETTERBIZ2F2A_W36	In general, do you think men or women would do a better job running a major technology company types of companies?	['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']
95	BETTERBIZ2F2B_W36	In general, do you think men or women would do a better job running a major retail chain types of companies?	['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']
96	BETTERBIZ2F2C_W36	In general, do you think men or women would do a better job running a large bank or financial institution types of companies?	['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']
97	BETTERBIZ2F2D_W36	In general, do you think men or women would do a better job running a large oil or gas company types of companies?	['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']
98	BETTERBIZ2F2E_W36	In general, do you think men or women would do a better job running a major hospital types of companies?	['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']
99	BETTERBIZ2F2F_W36	In general, do you think men or women would do a better job running a professional sports team types of companies?	['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']
100	TRAITPOLWF1A_W36	In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
101	TRAITPOLWF1B_W36	In general, how do you think being compassionate impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
102	TRAITPOLWF1C_W36	In general, how do you think being ambitious impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
103	TRAITPOLWF1D_W36	In general, how do you think being approachable impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
104	TRAITPOLWF1E_W36	In general, how do you think being assertive impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
105	TRAITPOLWF1F_W36	In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
106	TRAITPOLWF1G_W36	In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
107	TRAITPOLMF1A_W36	In general, how do you think being decisive impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
108	TRAITPOLMF1B_W36	In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
109	TRAITPOLMF1C_W36	In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
110	TRAITPOLMF1D_W36	In general, how do you think being approachable impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
111	TRAITPOLMF1E_W36	In general, how do you think being assertive impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
112	TRAITPOLMF1F_W36	In general, how do you think showing emotions impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
113	TRAITPOLMF1G_W36	In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
114	POLCHF1_W36	In general, what do you think is better for a woman who wants to reach high political office?	['Having children before she enters politics', 'Waiting until she is well-established in her political career to have children', 'Not having children at all', 'Refused']
115	TRAITBIZWF2A_W36	In general, how do you think being decisive impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
116	TRAITBIZWF2B_W36	In general, how do you think being compassionate impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
117	TRAITBIZWF2C_W36	In general, how do you think being ambitious impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
118	TRAITBIZWF2D_W36	In general, how do you think being approachable impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
119	TRAITBIZWF2E_W36	In general, how do you think being assertive impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
120	TRAITBIZWF2F_W36	In general, how do you think showing emotions impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
121	TRAITBIZWF2G_W36	In general, how do you think being physically attractive impacts a woman's chances of getting a top executive business position?	"[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']"
122	TRAITBIZMF2A_W36	In general, how do you think being decisive impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
123	TRAITBIZMF2B_W36	In general, how do you think being compassionate impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
124	TRAITBIZMF2C_W36	In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
125	TRAITBIZMF2D_W36	In general, how do you think being approachable impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
126	TRAITBIZMF2E_W36	In general, how do you think being assertive impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
127	TRAITBIZMF2F_W36	In general, how do you think showing emotions impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
128	TRAITBIZMF2G_W36	In general, how do you think being physically attractive impacts a man's chances of getting a top executive business position?	"[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']"
129	EXECCHF2_W36	In general, what do you think is better for a woman who wants to reach a top executive position in business?	['Having children early on in her career', 'Waiting until she is well-established in her career to have children', 'Not having children at all', 'Refused']
130	WMNPRZ1_W36	Do you think it would be a good thing or a bad thing for the country if a woman was elected president?	['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'Refused']
131	MOREWMN1F2_W36	As you may know, more women are running for U.S. Congress this year than in the past. Do you think this is	['A good thing', 'A bad thing', 'Neither a good thing nor a bad thing', 'Refused']
132	MOREWMN2F2_W36	If there were more women in the U.S. Congress, do you think Congress would	"[""Do a better job of dealing with the country's problems"", ""Do a worse job of dealing with the country's problems"", ""The number of women in Congress doesn't have much to with this"", 'Refused']"
133	MOREWMN3F2_W36	If there were more women in the U.S. Congress, do you think there would be	"['more openness and transparency in government', 'less openness and transparency in government', ""The number of women in Congress doesn't have much to with this"", 'Refused']"
134	MOREWMN4F2_W36	If there were more women in the U.S. Congress, do you think	"['The tone of political debate in Washington would be more respectful', 'The tone of political debate in Washington would be less respectful', ""The number of women in Congress doesn't have much to with this"", 'Refused']"
135	COLSPEECH_W36	Thinking again about colleges and universities which of the following do you think should be more important on college campuses these days?	"['Allowing people to speak their minds freely, even if some students find their views upsetting or offensive', ""Ensuring that students aren't exposed to views they find upsetting or offensive, even if that limits what people are a"", 'Refused']"
136	E5_W36	This question is about your household is your spouse now employed full-time, part-time or not employed?	['Full-time', 'Part-time', 'Not employed', 'Refused']
137	EARN_W36	Which of the following applies to your household income?	['I earn more than my spouse', 'My spouse earns more than me', 'My spouse and I earn about the same', 'Refused']
138	FERTIL1_W36	Have you or anyone you know personally ever used fertility treatments to try to have a baby or not?	['Yes', 'No', 'Refused']
