,input_ids,question,question_raw,references,mapping,top_k_logprobs
10,id_trial0_n10,"Question: Which of the following is the most important reason why you own a gun?
","Question: Which of the following is the most important reason why you own a gun?
A. For protection
B. For hunting
C. For sport shooting, including target shooting and trap and skeet
D. As part of a gun collection
E. For my job
F. Refused
Answer:","['For protection', 'For hunting', 'For sport shooting, including target shooting and trap and skeet', 'As part of a gun collection', 'For my job', 'Refused']","{'A': 'For protection', 'B': 'For hunting', 'C': 'For sport shooting, including target shooting and trap and skeet', 'D': 'As part of a gun collection', 'E': 'For my job', 'F': 'Refused'}","{' A': -0.2983815670013428, ' F': -2.3608815670013428, ' The': -3.9233815670013428, ' E': -3.9858815670013428, ' B': -3.9858815670013428, ' C': -3.9858815670013428, ' Please': -5.110881805419922, ' Option': -5.173381805419922, ' [': -5.173381805419922, ' For': -5.423381805419922}"
11,id_trial0_n11,"Question: How important, if at all, is being a gun owner to your overall identity?
","Question: How important, if at all, is being a gun owner to your overall identity?
A. Very important
B. Somewhat important
C. Not too important
D. Not at all important
E. Refused
Answer:","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not at all important', 'E': 'Refused'}","{' E': -0.6131009459495544, ' A': -1.8631010055541992, ' B': -2.800601005554199, ' D': -3.175601005554199, ' C': -3.488101005554199, ' Option': -3.613101005554199, ' ?\n\n': -3.738101005554199, ' The': -4.238101005554199, ' ': -4.300601005554199, ' To': -4.988101005554199}"
12,id_trial0_n12,"Question: As far as you know, how many of your friends, if any, own guns?
","Question: As far as you know, how many of your friends, if any, own guns?
A. All or most
B. Some
C. Only a few
D. None
E. Refused
Answer:","['All or most', 'Some', 'Only a few', 'None', 'Refused']","{'A': 'All or most', 'B': 'Some', 'C': 'Only a few', 'D': 'None', 'E': 'Refused'}","{' B': -0.6016879081726074, ' E': -1.4766879081726074, ' C': -2.4141879081726074, ' A': -2.7266879081726074, ' D': -3.5391879081726074, ' None': -5.039187908172607, ' Option': -5.226687908172607, ' ?\n\n': -5.664187908172607, ' (': -6.164187908172607, ' F': -6.164187908172607}"
13,id_trial0_n13,"Question: How often, if ever, do you go shooting or to a gun range?
","Question: How often, if ever, do you go shooting or to a gun range?
A. Often
B. Sometimes
C. Rarely
D. Never
E. Refused
Answer:","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']","{'A': 'Often', 'B': 'Sometimes', 'C': 'Rarely', 'D': 'Never', 'E': 'Refused'}","{' E': -0.853539764881134, ' B': -1.5410397052764893, ' C': -1.8535397052764893, ' A': -2.2910397052764893, ' D': -3.7910397052764893, ' Option': -4.166039943695068, ' ?\n\n': -4.791039943695068, ' F': -4.853539943695068, ' (': -5.541039943695068, ' \\': -5.603539943695068}"
14,id_trial0_n14,"Question: Does having a gun in your household make you feel
","Question: Does having a gun in your household make you feel
A. Safer than you would feel without a gun in your household
B. Less safe than you would feel without a gun in your household
C. No more or less safe
D. Refused
Answer:","['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused']","{'A': 'Safer than you would feel without a gun in your household', 'B': 'Less safe than you would feel without a gun in your household', 'C': 'No more or less safe', 'D': 'Refused'}","{' C': -1.0635796785354614, ' A': -1.4385796785354614, ' B': -1.8135796785354614, ' D': -1.9385796785354614, ' ?\n\n': -3.688579559326172, ' Option': -3.938579559326172, ' ': -4.876079559326172, ' option': -5.001079559326172, ' ?\n': -5.626079559326172, ' E': -5.688579559326172}"
15,id_trial0_n15,"Question: Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you
","Question: Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you
A. All of the time
B. Most of the time
C. Only some of the time
D. Never
E. Refused
Answer:","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']","{'A': 'All of the time', 'B': 'Most of the time', 'C': 'Only some of the time', 'D': 'Never', 'E': 'Refused'}","{' E': -0.8976025581359863, ' C': -1.6476025581359863, ' A': -2.0851025581359863, ' D': -2.1476025581359863, ' B': -2.5226025581359863, ' Option': -4.147602558135986, ' ?\n\n': -5.397602558135986, ' ': -5.647602558135986, ' The': -5.710102558135986, ' option': -5.772602558135986}"
16,id_trial0_n16,"Question: In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?
","Question: In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?
A. All are kept in a locked place
B. Some are kept in a locked place and some are not
C. None are kept in a locked place
D. Refused
Answer:","['All are kept in a locked place', 'Some are kept in a locked place and some are not', 'None are kept in a locked place', 'Refused']","{'A': 'All are kept in a locked place', 'B': 'Some are kept in a locked place and some are not', 'C': 'None are kept in a locked place', 'D': 'Refused'}","{' A': -1.311321496963501, ' D': -1.436321496963501, ' B': -1.561321496963501, ' C': -1.936321496963501, ' Option': -3.248821496963501, ' ?\n\n': -4.436321258544922, ' The': -5.061321258544922, ' None': -5.123821258544922, ' ': -5.186321258544922, ' I': -5.498821258544922}"
17,id_trial0_n17,"Question: In general, as far as you know, how many of the guns in your home would you say are kept loaded?
","Question: In general, as far as you know, how many of the guns in your home would you say are kept loaded?
A. All are kept loaded
B. Some are kept loaded and some are not
C. None are kept loaded
D. Refused
Answer:","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']","{'A': 'All are kept loaded', 'B': 'Some are kept loaded and some are not', 'C': 'None are kept loaded', 'D': 'Refused'}","{' D': -1.1821742057800293, ' C': -1.4946742057800293, ' B': -1.6196742057800293, ' A': -1.8071742057800293, ' ?\n\n': -4.432174205780029, ' None': -4.494674205780029, ' Option': -4.994674205780029, ' The': -5.057174205780029, ' I': -5.307174205780029, ' ': -5.369674205780029}"
18,id_trial0_n18,"Question: In general, is the gun in your home kept in a locked place, or not?
","Question: In general, is the gun in your home kept in a locked place, or not?
A. Yes, kept in a locked place
B. No, not kept in a locked place
C. Refused
Answer:","['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused']","{'A': 'Yes, kept in a locked place', 'B': 'No, not kept in a locked place', 'C': 'Refused'}","{' C': -0.9099276661872864, ' A': -1.1599276065826416, ' B': -2.9099276065826416, ' Option': -3.9724276065826416, ' The': -3.9724276065826416, ' To': -3.9724276065826416, ' ?\n\n': -4.222427845001221, ' Please': -4.284927845001221, ' [': -4.472427845001221, ' \n\n': -4.534927845001221}"
19,id_trial0_n19,"Question: In general, is the gun in your home kept loaded, or not?
","Question: In general, is the gun in your home kept loaded, or not?
A. Yes, kept loaded
B. No, not kept loaded
C. Refused
Answer:","['Yes, kept loaded', 'No, not kept loaded', 'Refused']","{'A': 'Yes, kept loaded', 'B': 'No, not kept loaded', 'C': 'Refused'}","{' C': -0.871448814868927, ' A': -1.3714487552642822, ' B': -1.8714487552642822, ' ?\n\n': -3.9339487552642822, ' The': -4.058948993682861, ' Option': -4.058948993682861, ' [': -4.746448993682861, ' Given': -5.183948993682861, ' \n\n': -5.183948993682861, ' To': -5.183948993682861}"
20,id_trial0_n20,"Question: How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?
","Question: How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer:","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","{'A': 'A great deal', 'B': 'A fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'Refused'}","{' E': -1.273605227470398, ' A': -1.273605227470398, ' B': -1.523605227470398, ' C': -3.3361053466796875, ' ?\n\n': -3.4611053466796875, ' D': -3.6486053466796875, ' ?\n': -4.3986053466796875, ' The': -4.4611053466796875, ' ': -4.7111053466796875, ' Option': -4.7111053466796875}"
21,id_trial0_n21,"Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
","Question: How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer:","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","{'A': 'A great deal', 'B': 'A fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'Refused'}","{' E': -0.9884025454521179, ' A': -1.4884026050567627, ' B': -2.2384026050567627, ' D': -2.8009026050567627, ' C': -2.8634026050567627, ' ?\n\n': -3.3009026050567627, ' Not': -4.425902366638184, ' ?\n': -4.613402366638184, ' The': -4.675902366638184, ' Option': -4.738402366638184}"
22,id_trial0_n22,"Question: How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?
","Question: How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer:","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","{'A': 'A great deal', 'B': 'A fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'Refused'}","{' E': -1.0003018379211426, ' A': -1.3753018379211426, ' B': -2.3128018379211426, ' C': -2.5003018379211426, ' D': -3.1253018379211426, ' ?\n\n': -3.5628018379211426, ' Not': -4.500301837921143, ' ?\n': -4.625301837921143, ' Option': -4.625301837921143, ' The': -4.812801837921143}"
23,id_trial0_n23,"Question: How much, if at all, do you think family instability contributes to gun violence in the country today?
","Question: How much, if at all, do you think family instability contributes to gun violence in the country today?
A. A great deal
B. A fair amount
C. Not too much
D. Not at all
E. Refused
Answer:","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","{'A': 'A great deal', 'B': 'A fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'Refused'}","{' A': -0.7742781639099121, ' B': -1.649278163909912, ' E': -1.774278163909912, ' ?\n\n': -3.399278163909912, ' C': -3.524278163909912, ' Not': -4.461778163909912, ' ?\n': -4.461778163909912, ' D': -4.711778163909912, ' The': -4.899278163909912, ' ': -5.149278163909912}"
24,id_trial0_n24,"Question: How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?
","Question: How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?
A. A very big problem
B. A moderately big problem
C. A small problem
D. Not a problem at all
E. Refused
Answer:","['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']","{'A': 'A very big problem', 'B': 'A moderately big problem', 'C': 'A small problem', 'D': 'Not a problem at all', 'E': 'Refused'}","{' E': -0.901819109916687, ' A': -1.339319109916687, ' B': -2.2143192291259766, ' C': -2.8393192291259766, ' Option': -3.7143192291259766, ' The': -4.214319229125977, ' D': -4.276819229125977, ' ?\n\n': -4.651819229125977, ' ': -4.714319229125977, ' I': -4.901819229125977}"
25,id_trial0_n25,"Question: Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
","Question: Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
A. Yes, was a reason
B. No, was not a reason
C. Refused
Answer:","['Yes, was a reason', 'No, was not a reason', 'Refused']","{'A': 'Yes, was a reason', 'B': 'No, was not a reason', 'C': 'Refused'}","{' A': -0.5337245464324951, ' C': -1.6587245464324951, ' B': -2.658724546432495, ' Option': -4.471224784851074, ' I': -4.533724784851074, ' \n\n': -4.596224784851074, ' ?\n\n': -4.596224784851074, ' The': -4.596224784851074, ' ': -4.658724784851074, ' Please': -4.783724784851074}"
26,id_trial0_n26,"Question: Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting
","Question: Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting
A. Yes, was a reason
B. No, was not a reason
C. Refused
Answer:","['Yes, was a reason', 'No, was not a reason', 'Refused']","{'A': 'Yes, was a reason', 'B': 'No, was not a reason', 'C': 'Refused'}","{' A': -0.5008140802383423, ' C': -1.6258140802383423, ' B': -2.8758139610290527, ' Option': -4.500813961029053, ' I': -4.500813961029053, ' \n\n': -4.563313961029053, ' The': -4.688313961029053, ' ': -4.688313961029053, ' Please': -4.875813961029053, ' \n': -5.000813961029053}"
27,id_trial0_n27,"Question: Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet
","Question: Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet
A. Yes, was a reason
B. No, was not a reason
C. Refused
Answer:","['Yes, was a reason', 'No, was not a reason', 'Refused']","{'A': 'Yes, was a reason', 'B': 'No, was not a reason', 'C': 'Refused'}","{' A': -0.6810793280601501, ' C': -1.181079387664795, ' B': -2.806079387664795, ' Please': -4.618579387664795, ' Option': -4.681079387664795, ' ?\n\n': -4.743579387664795, ' The': -4.868579387664795, ' ': -4.868579387664795, ' \n\n': -4.931079387664795, ' I': -5.118579387664795}"
28,id_trial0_n28,"Question: Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?
","Question: Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?
A. All or most
B. Some
C. Only a few
D. None
E. Refused
Answer:","['All or most', 'Some', 'Only a few', 'None', 'Refused']","{'A': 'All or most', 'B': 'Some', 'C': 'Only a few', 'D': 'None', 'E': 'Refused'}","{' B': -0.8423447012901306, ' E': -1.7173447608947754, ' A': -1.7173447608947754, ' C': -2.1548447608947754, ' D': -3.9673447608947754, ' Option': -4.529844760894775, ' ?\n\n': -4.654844760894775, ' None': -4.717344760894775, ' (': -5.342344760894775, ' I': -5.592344760894775}"
29,id_trial0_n29,"Question: How often, if ever, did you go shooting or to a gun range when you were growing up?
","Question: How often, if ever, did you go shooting or to a gun range when you were growing up?
A. Often
B. Sometimes
C. Hardly ever
D. Never
E. Refused
Answer:","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","{'A': 'Often', 'B': 'Sometimes', 'C': 'Hardly ever', 'D': 'Never', 'E': 'Refused'}","{' C': -0.8499314785003662, ' E': -1.3499314785003662, ' B': -2.037431478500366, ' A': -2.599931478500366, ' Option': -3.537431478500366, ' ?\n\n': -4.412431716918945, ' D': -4.474931716918945, ' F': -4.974931716918945, ' option': -5.287431716918945, ' __': -5.599931716918945}"
30,id_trial0_n30,"Question: How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?
","Question: How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?
A. Often
B. Sometimes
C. Hardly ever
D. Never
E. Refused
Answer:","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","{'A': 'Often', 'B': 'Sometimes', 'C': 'Hardly ever', 'D': 'Never', 'E': 'Refused'}","{' C': -1.015162706375122, ' E': -1.452662706375122, ' B': -1.765162706375122, ' A': -2.390162706375122, ' Option': -3.702662706375122, ' ?\n\n': -3.952662706375122, ' D': -4.265162467956543, ' __': -4.515162467956543, ' option': -5.202662467956543, ' F': -5.265162467956543}"
31,id_trial0_n31,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place
","Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' E': -1.0811047554016113, ' A': -1.1436047554016113, ' B': -1.7686047554016113, ' C': -2.8936047554016113, ' The': -4.393604755401611, ' ?\n\n': -4.831104755401611, ' Keep': -4.831104755401611, ' ': -4.956104755401611, ' D': -5.268604755401611, ' I': -5.518604755401611}"
32,id_trial0_n32,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded
","Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' E': -0.9544281959533691, ' A': -1.4544281959533691, ' B': -1.7044281959533691, ' C': -2.829428195953369, ' The': -4.266928195953369, ' ?\n\n': -4.391928195953369, ' Keep': -4.391928195953369, ' D': -4.829428195953369, ' ': -5.016928195953369, ' I': -5.141928195953369}"
33,id_trial0_n33,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses
","Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' A': -1.0203076601028442, ' E': -1.3953076601028442, ' B': -1.4578076601028442, ' C': -3.0203075408935547, ' ?\n\n': -3.8328075408935547, ' The': -5.020307540893555, ' I': -5.207807540893555, ' ?\n': -5.332807540893555, ' ': -5.520307540893555, ' D': -5.707807540893555}"
34,id_trial0_n34,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
","Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' A': -0.917405903339386, ' E': -1.2924058437347412, ' B': -1.7924058437347412, ' C': -3.104905843734741, ' The': -3.979905843734741, ' D': -4.60490608215332, ' ?\n\n': -4.85490608215332, ' Option': -5.35490608215332, ' ': -5.54240608215332, ' I': -5.54240608215332}"
35,id_trial0_n35,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house
","Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' A': -1.0401654243469238, ' E': -1.1651654243469238, ' B': -1.8526654243469238, ' C': -2.602665424346924, ' The': -4.165165424346924, ' D': -4.602665424346924, ' ?\n\n': -4.852665424346924, ' Option': -5.352665424346924, ' ': -5.540165424346924, ' I': -5.727665424346924}"
36,id_trial0_n36,"Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately
","Question: Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' A': -1.1268165111541748, ' E': -1.3143165111541748, ' B': -1.5643165111541748, ' C': -2.689316511154175, ' D': -4.064316749572754, ' ': -4.251816749572754, ' ?\n\n': -4.376816749572754, ' The': -4.626816749572754, ' Option': -5.189316749572754, ' ?\n': -5.314316749572754}"
37,id_trial0_n37,"Question: Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house
","Question: Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house
A. Essential
B. Important but not essential
C. Not important
D. Should not be done
E. Refused
Answer:","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","{'A': 'Essential', 'B': 'Important but not essential', 'C': 'Not important', 'D': 'Should not be done', 'E': 'Refused'}","{' A': -0.8517223000526428, ' E': -1.101722240447998, ' B': -2.414222240447998, ' C': -3.164222240447998, ' The': -4.164222240447998, ' D': -4.414222240447998, ' ?\n\n': -4.664222240447998, ' ?\n': -5.539222240447998, ' Option': -5.539222240447998, ' I': -5.601722240447998}"
